imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,movie_facebook_likes,num_voted_users,budget,gross
8,723,178,840,855,4834,33000,886204,237000000,760505847
7,302,169,563,1000,48350,13261,471220,300000000,309404152
7,602,148,840,161,11700,85000,275868,245000000,200074175
9,813,164,22000,23000,106759,164000,1144337,250000000,448130642
7,140,107,131,656,143,13261,8,39752620,48468407
7,462,132,475,530,1873,24000,212204,263700000,73058679
6,392,156,840,4000,46055,13261,383056,258000000,336530303
8,324,100,15,284,2036,29000,294810,260000000,200807262
8,635,141,840,19000,92000,118000,462669,250000000,458991599
8,375,153,282,10000,58753,10000,321795,250000000,301956980
7,673,183,840,2000,24450,197000,371639,250000000,330249062
6,434,169,840,903,29991,13261,240396,209000000,200069408
7,403,106,395,393,2023,13261,330784,200000000,168368427
7,313,151,563,1000,48486,5000,522040,225000000,423032628
7,450,150,563,1000,45757,48000,181792,215000000,89289910
7,733,143,840,748,20495,118000,548573,225000000,291021565
7,258,150,80,201,22697,13261,149922,225000000,141614023
8,703,173,840,19000,87697,123000,995415,220000000,623279547
7,448,136,252,1000,54083,58000,370704,250000000,241063875
7,451,106,188,718,12572,40000,268154,225000000,179020854
8,422,164,840,773,9152,65000,354228,250000000,255108370
7,599,153,464,963,28489,56000,451803,230000000,262030663
7,343,156,840,738,3244,17000,211765,200000000,105219735
8,509,186,840,773,9152,83000,483540,225000000,258355354
6,251,113,129,1000,24106,13261,149019,180000000,70083519
7,446,201,840,84,7123,13261,316018,207000000,218051260
8,315,194,840,794,45223,26000,793059,200000000,658672302
8,516,147,94,11000,64798,72000,272670,250000000,407197282
6,377,131,532,627,26679,44000,202382,209000000,65173160
7,644,124,365,1000,8458,150000,418214,150000000,652177271
8,750,143,840,393,2039,80000,522030,200000000,304360277
7,300,135,840,4000,43388,13261,411164,200000000,373377893
7,608,195,1000,3000,30426,95000,557489,200000000,408992272
