imdb_score,num_critic_for_reviews,duration,director_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,budget,gross
8,723,178,840,855,4834,237000000,760505847
7,302,169,563,1000,48350,300000000,309404152
7,602,148,840,161,11700,245000000,200074175
9,813,164,22000,23000,106759,250000000,448130642
7,140,107,131,656,143,39752620,48468407
7,462,132,475,530,1873,263700000,73058679
6,392,156,840,4000,46055,258000000,336530303
8,324,100,15,284,2036,260000000,200807262
8,635,141,840,19000,92000,250000000,458991599
8,375,153,282,10000,58753,250000000,301956980
7,673,183,840,2000,24450,250000000,330249062
6,434,169,840,903,29991,209000000,200069408
7,403,106,395,393,2023,200000000,168368427
7,313,151,563,1000,48486,225000000,423032628
7,450,150,563,1000,45757,215000000,89289910
7,733,143,840,748,20495,225000000,291021565
7,258,150,80,201,22697,225000000,141614023
8,703,173,840,19000,87697,220000000,623279547
7,448,136,252,1000,54083,250000000,241063875
7,451,106,188,718,12572,225000000,179020854
8,422,164,840,773,9152,250000000,255108370
7,599,153,464,963,28489,230000000,262030663
7,343,156,840,738,3244,200000000,105219735
8,509,186,840,773,9152,225000000,258355354
6,251,113,129,1000,24106,180000000,70083519
7,446,201,840,84,7123,207000000,218051260
8,315,194,840,794,45223,200000000,658672302
8,516,147,94,11000,64798,250000000,407197282
6,377,131,532,627,26679,209000000,65173160
7,644,124,365,1000,8458,150000000,652177271
8,750,143,840,393,2039,200000000,304360277
7,300,135,840,4000,43388,200000000,373377893
7,608,195,1000,3000,30426,200000000,408992272
7,451,108,13000,11000,79957,200000000,334185206
7,334,104,420,560,21714,210000000,234360014
7,376,104,37,760,14863,200000000,268488329
6,366,150,840,464,3218,200000000,402076689
6,378,165,840,808,3988,210000000,245428137
6,525,130,840,11000,73441,215000000,234903076
7,495,142,464,825,28631,200000000,202853933
7,469,125,364,1000,25550,170000000,172051787
6,304,106,487,776,4482,200000000,191450875
6,436,123,258,326,17657,200000000,116593191
8,453,103,125,721,19085,200000000,414984497
7,422,118,368,988,27468,200000000,125320003
7,424,140,840,14000,79150,190000000,350034110
7,654,123,395,1000,32392,190000000,202351611
8,539,149,840,20000,91434,200000000,233914986
8,590,132,14000,928,21411,190000000,228756232
6,338,114,840,140,1766,195000000,65171860
7,490,143,1000,77,29770,105000000,144812796
7,306,116,179,236,16149,200000000,90755643
7,575,131,840,919,19166,190000000,101785482
6,428,154,840,581,2593,195000000,352358779
6,470,122,14000,1000,14959,185000000,317011114
7,298,93,113,113,696,39752620,123070338
7,488,93,56,838,5005,185000000,237282182
8,322,122,681,105,1327,185000000,130468626
8,421,98,475,522,2975,180000000,223806889
6,162,91,420,173,1125,140000000,140080850
6,367,158,776,310,2144,200000000,166112167
7,240,96,840,10000,48878,200000000,137850096
5,384,127,840,13000,47334,176000000,47375327
7,248,110,282,103,21175,180000000,124051759
7,284,150,80,82,1317,180000000,291709845
7,396,144,840,1000,49684,178000000,154985087
9,645,152,22000,11000,57802,185000000,533316061
8,408,96,840,262,2635,175000000,292979556
7,219,94,11,459,2579,175000000,198332128
8,486,126,4000,4000,39252,140000000,318298180
8,682,126,17000,1000,36017,170000000,73820094
5,85,106,188,582,15870,170000000,113745408
5,264,112,357,595,9131,145000000,102176165
7,418,123,452,329,11287,175000000,161087183
5,186,96,293,7000,108016,175000000,100289690
8,585,113,218,509,12652,178000000,100189501
6,91,176,58,60,1004,175000000,88246220
6,250,118,208,570,26683,175000000,150167630
8,536,95,840,384,2944,175000000,356454367
8,370,106,4000,591,32921,175000000,362645141
7,453,124,4000,4000,48638,200000000,312057433
6,416,132,274,11000,72881,170000000,155111815
7,401,97,171,846,15516,180000000,241407328
8,521,130,198,884,14363,170000000,208543795
5,10,109,596,283,1982,39752620,48468407
6,218,128,47,982,20965,175000000,38297305
8,576,136,94,2000,36188,170000000,259746958
6,226,93,31,213,4628,165000000,238371987
7,443,130,663,604,5046,190000000,93417865
8,384,102,38,562,2963,165000000,222487711
8,377,101,66,833,4451,165000000,189412677
7,188,100,840,267,16264,165000000,665426
6,286,120,776,535,3233,165000000,102315545
8,288,98,255,759,20453,165000000,217387997
6,280,109,84,191,1769,200000000,150350192
8,653,121,571,3000,32438,170000000,333130696
9,712,169,22000,6000,31488,165000000,187991439
9,642,148,22000,23000,81115,160000000,292568851
8,1,120,28,12,699,39752620,48468407
8,645,182,840,773,9152,180000000,303001229
7,187,106,357,4000,45327,38000000,144512310
8,362,166,21000,919,13333,150000000,127490802
8,500,132,905,1000,50983,160000000,146405371
7,389,137,508,14000,81385,160000000,281666058
6,235,109,226,370,13388,150000000,63143812
6,231,98,249,702,92456,160000000,60655503
6,218,113,33,11000,80806,170000000,76846624
6,227,93,50,692,4705,160000000,320706665
7,275,123,840,648,5505,160000000,46978995
7,474,126,230,2000,38873,155000000,89732035
6,228,113,150,59,764,155000000,104383624
6,191,184,840,691,5401,140000000,198539855
7,396,144,840,581,2333,150000000,318759914
6,248,206,840,591,24598,155000000,34293771
8,329,138,282,687,33433,150000000,292000866
8,295,157,179,10000,53413,150000000,289994397
6,318,102,532,979,21584,150000000,227946274
7,323,104,508,558,13076,150000000,256386216
7,276,115,13000,588,57844,150000000,206456431
8,318,111,663,954,4764,150000000,206435493
8,478,128,22000,11000,59558,150000000,205343774
7,167,89,35,436,3285,150000000,179982968
6,185,105,189,1000,54039,150000000,177243721
7,350,119,151,2000,40054,150000000,179883016
7,245,129,840,233,1062,150000000,139259759
